Authors,Title,Conference,Date
"Le Roux, N.J., Lubbe, S. and Gower, J.C.",Consequences of combining Fisher Optimal Scores with bi-additive models.,"COMPSTAT2016, 23- 26 August 2016, Oviedo, Spain.",2016-08-23
"Nienkemper-Swanepoel, J., le Roux, N.J. and Lubbe, S.",Visualisations of multiple imputations using Generalized Orthogonal Procrustes Analysis.,"COMPSTAT2016, 23- 26 August 2016, Oviedo, Spain.",2016-08-23
"Lubbe, S., Claassen, S., du Toit, E., Botha, G., Lennard, K., Zar, H.J. and Nicol, M.P.",A longitudinal log ratio biplot based on functional data analysis modelling.,"International Conference on Information Complexity and Statistical Modeling in High Dimensions with Applications, 18 – 21 May 2016, Nevshir, Turkey.",2016-05-18
"Lubbe, S., le Roux, N.J. and Gower, J.C.",Fisher Optimal Scores for visualization in categorical data.,"SASA: Annual South African Statistical Association Conference, 30 November – 3 December 2015, Pretoria.",2015-11-30
"Nienkemper-Swanepoel, J., le Roux, N.J., Lubbe, S. and von Maltiz, M.J.",Generalized Orthogonal Procrustes Analysis for the comparison of Multiple Imputed data sets.,"SASA:  Annual South African Statistical Association Conference, 30 November – 3 December 2015, Pretoria.",2015-11-30
"Claassen, S., du Toit, E., Botha, G., Lubbe, S., Zar, H.J. and Nicol, M.P.",Poster: Dynamics of the nasopharyngeal microbiome preceding and at the onset of pneumonia in infants: a pilot study. ,"H3Africa Conference, 29 September 2015, Washington D.C.",2015-09-29
"Gower, J.C., le Roux, N.J. and Lubbe, S.",Fisher Optimal Scores revisited. ,"CARME: Correspondence Analysis and Related Methods Conference, 21 – 23 September 2015, Naples, Italy.",2015-09-21
"Lubbe, S.",Including Covariates in Linear discriminant analysis.,"CARME: Correspondence Analysis and Related Methods Conference, 21 – 23 September 2015, Naples, Italy.",2015-09-21
"Pierre Bernard, T.C. and Lubbe, S.",A graphical overview of social inequality in South Africa.,"WSC: 60th ISI World Statistics Congress, 26-31 July 2015, Rio de Jeneiro, Brazil.",2015-07-26
"Lubbe, S., Dube, F.S., Nicol, M.P. and Zar, H.J.",Functional Data Analysis for the Investigation of Longitudinal Response Patterns in Health Care.,"IFCS: Conference of the International Federation of Classification Societies, 6-8 July 2015, Bologna, Italy.",2015-07-06
"Nienkemper-Swanepoel, J, Lubbe, S., le Roux, N.J. Smith, E., Zar, H.J. and Nicol, M.P.",Biplot-based visualisations to explore relationships between pneumonia and nasopharyngeal pathogens. ,"IFCS: Conference of the International Federation of Classification Societies, 6-8 July 2015, Bologna, Italy.",2015-07-06
"Lubbe, S. and Williams, D. ",Visualising three-way arrays: An outer product rank perspective. ,"Three-way methods In Chemistry And Psychology Conference,  31 May – 5 June 2015, Val di Zoldo, Belluno, Italy.",2015-05-31
"Lubbe, S. and Essomba, R.F.",Comparison of Basis Function Selection and Model Fitting for Functional Regression Models,"SASA: Annual South African Statistical Association Conference, 4-6 November 2014, Grahamstown.",2014-11-04
"Lubbe, S.",A Quadratic Discriminant Analysis Biplot.,"COMPSTAT 2014, 18-22 August 2014, Genève, Switzerland.",2014-08-22
"Brown, J.C., Lubbe, S., Lambert, M., van Mechelen, W. and Verhagen, E. ","Poster: The association between knowledge, perceptions, education and injury-preventing behaviour in rubgy union players.","IOC World Conference Prevention of Injury and Illness in Sport, 10-12 April 2014, Monaco.",2014-04-10
